Rank,AdvRollNo,InsCode,BranchCode
302,6093225,110,4125
303,1006128,102,5235
304,2051150,113,4109
305,3005116,117,4125
306,4061008,113,4111
307,6036284,103,4110
308,5006014,102,4117
309,2072049,113,4111
310,6035192,103,4110
311,6131102,108,4110
312,1087048,108,4110
313,6085204,112,4110
314,1100075,117,4124
315,6123022,110,4107
316,3042065,107,4111
317,5031044,102,4101
318,6082439,112,4110
319,6089455,121,4110
320,5033103,113,5606
321,2048479,113,4111
322,3004227,102,4117
323,6109168,109,4203
324,1030457,112,4110
325,6098175,109,4203
326,3013059,104,4112
327,6024177,112,4188
328,6015063,121,4110
329,6083064,117,4116
330,2050412,113,4109
332,1100469,116,5254
333,2055042,113,4109
334,2050001,109,4109
335,3002221,102,4101
336,1059063,102,4107
337,2049250,109,4125
338,6117029,101,4114
339,2044560,116,4111
340,3045155,113,4111
341,6110083,116,4113
342,3001032,110,4109
343,6098018,107,4111
344,1062031,102,4107
345,2023188,113,4125
346,1068398,119,4110
347,6091050,117,4116
348,6109176,109,4207
349,3005027,102,4125
350,6115155,120,4110
351,6123032,110,4125
352,6037358,114,4110
353,7020033,116,5216
354,6081088,108,4110
355,3003021,102,4107
356,6136086,117,4116
357,3045258,107,410A
357,1041193,106,5225
360,3001058,110,4109
361,2052339,113,4109
362,2061108,109,4125
363,6092176,116,4113
364,6116022,113,4114
365,2036015,119,4110
366,6084031,102,4125
367,2041030,109,4125
368,6098320,114,4114
369,2034214,108,4188
370,1071105,115,4124
371,6004180,101,5216
372,1018453,102,4107
373,6123056,113,4114
374,6108106,114,4114
375,2050452,113,4109
376,6086134,114,4110
377,2048463,109,4125
378,2049251,109,4207
379,6082225,112,4188
380,7025219,110,4125
381,2073033,109,4125
382,5063336,106,4111
383,2059328,102,4101
384,6097064,101,4114
385,5007448,102,4107
386,2044528,109,4109
387,6134198,110,4125
388,1085353,108,4188
389,2061133,102,4107
390,6041089,101,4114
391,2035060,102,4101
392,2015524,110,4125
393,2006122,109,4109
394,2070578,106,5225
396,6133133,102,4101
397,7023095,113,4111
398,5045321,110,4125
399,6115077,121,4110
401,6030099,110,4125
402,5031092,110,4111
403,1006085,102,4107
404,2060060,102,4107
405,1033214,117,4116
406,4015315,102,4128
407,2077127,106,5222
408,2041600,109,4109
409,6123193,110,4107
410,3002139,106,4125
411,1031169,116,4111
412,2048287,109,4109
413,6092225,114,4114
414,2053237,116,4111
415,6002047,109,4111
416,1018575,109,4109
417,2058238,106,5222
418,2044201,116,4113
419,5046425,110,4125
420,2059238,105,4111
421,6131106,116,4113
422,6139192,110,4125
424,5004130,110,4125
425,6108258,120,4110
426,5046380,110,4125
427,6093331,102,4206
428,1027667,106,4121
429,1061090,102,4128
430,2052103,109,4109
431,1078202,121,4110
432,6025060,108,4188
433,5008027,110,4107
434,6082102,123,4110
435,7035146,116,4109
436,1099342,102,4202
437,2046034,116,4113
438,6093395,110,4101
439,6118262,114,4114
441,6123098,116,4113
442,1051156,105,4111
443,3033168,110,4101
444,6081416,120,4110
445,6085227,110,4107
446,6084091,115,4110
447,4015165,113,4125
448,1034011,106,4121
449,6114083,109,4111
450,3053084,106,4208
451,5007008,106,4125
452,1021099,109,4125
453,6104159,109,4125
454,6080302,123,4110
455,6086116,112,4188
456,6098052,116,4113
457,2076036,102,4117
458,2050192,108,4111
459,7007048,113,4125
460,2053011,109,4111
461,6081259,116,4113
462,6137127,112,4110
464,2058054,102,4128
465,2051217,109,4125
466,6139043,121,4125
467,4008321,113,4111
468,5007252,106,4125
469,2070577,106,4121
471,6081160,123,4110
472,2050185,113,4125
473,2050423,116,4111
475,7030116,109,4107
476,2055195,106,4109
477,6134193,106,4107
478,6115025,117,4114
479,7022125,103,4187
481,2069072,110,4101
482,2068181,106,4109
484,6012159,106,4125
485,3038015,123,4110
486,2056424,106,4109
487,1029211,106,4125
488,1101452,114,4114
489,3003391,115,4124
490,3034231,116,4111
492,6118310,113,4111
493,6123104,114,4114
494,2047263,106,4109
495,1035009,106,4125
496,6004182,118,4110
497,6037176,117,4116
498,4016438,110,4107
499,6036392,114,4114
500,4001328,110,4101
501,2060328,106,5239
502,6041361,113,4125
503,1055102,102,4125
504,6111076,106,4109
505,1055196,103,4187
506,6116026,113,4125
508,2060272,106,4109
509,6139199,118,4110
510,1101614,106,4170
511,6118378,105,4111
512,6123081,114,4114
513,6115009,105,4111
514,1004525,111,4111
515,5008081,104,4136
516,2053420,117,4109
517,3003132,117,4125
518,5017222,104,4107
519,2055299,107,4109
520,6124045,110,4107
521,5062287,116,4111
522,1018705,102,4128
523,6041082,106,4101
524,6126017,110,4125
525,6036404,107,4125
526,2015361,102,4109
527,2045282,113,4125
528,6100142,106,5215
529,2041654,104,4198
530,2069322,104,4109
531,6019190,109,4101
532,6041174,101,4125
533,6050071,104,4107
534,6093299,104,4107
535,6087086,116,5223
536,2056079,119,4124
537,6103115,107,4109
538,2041304,116,4125
541,2045067,113,4125
542,4008307,118,4110
543,6124143,107,4118
544,6124146,117,4125
545,2055271,104,4107
546,6012105,117,4109
547,7008073,109,4107
548,1029076,113,4125
549,1027351,116,5254
550,2046348,105,4109
551,3001109,117,4109
553,2069420,102,5217
554,1001022,119,4124
555,4047015,102,4198
556,2046114,117,4109
557,5017262,106,4127
558,6115128,105,4111
559,6004098,103,4187
560,6083273,110,4127
561,6035167,114,4111
562,6004173,120,4187
563,5044254,117,4125
564,6093061,122,4110
565,6092046,104,4107
566,4012125,116,5254
567,6076259,117,4109
568,2032030,109,4107
569,1072603,122,4110
570,2050385,104,4136
571,2063226,117,4109
574,6123040,117,4125
575,1056210,111,4111
576,2070444,109,4202
577,6139141,114,4111
578,6017083,116,4111
579,6101061,107,4125
580,5061333,117,4109
583,6118059,107,4125
584,2053151,108,4111
585,6047012,102,4128
587,5003368,117,4125
588,2041513,102,4128
590,6117114,107,4125
591,2057240,116,4109
592,5044063,106,4122
593,2045092,104,4117
594,6088263,118,4181
595,2053433,116,4111
596,6079466,110,4125
597,6080108,102,4128
598,3017193,104,5210
599,6076322,118,4181
600,6106019,112,4208
601,4005036,105,4109
602,6020327,102,4128
603,6119017,110,4127
604,6077180,117,4125
605,7022192,106,4170
606,2041740,102,4109
607,6118069,108,4110
608,2055104,104,4136
609,5031006,104,5210
611,3037164,112,4144
612,2060355,102,4109
613,2053147,116,4109
614,5049058,102,4117
615,3051011,102,4117
616,1029157,114,5305
617,5058270,106,4107
618,2037042,115,4111
619,2065099,117,4109
620,6079079,106,4170
621,6090080,115,4111
622,6083051,114,4111
623,3055354,102,4198
624,5035023,106,4107
625,6085448,114,5305
626,4015037,104,5210
627,6077178,104,4198
628,3045348,114,4111
629,7010179,107,4109
630,5017291,110,4127
631,6098007,112,4208
632,6087343,116,4125
633,6083215,108,4110
634,6089339,112,4144
635,6124030,106,4107
636,2046354,101,4111
637,2039253,105,4109
638,5010028,116,4125
639,2021308,108,4141
640,2048259,102,4198
641,2043312,116,4109
642,6123111,117,4107
643,6083441,110,4125
644,1100158,109,4107
645,1018474,113,4107
646,6131231,101,4111
647,2046167,116,4109
648,2055267,109,4107
649,3049036,101,4111
650,6102006,104,4117
651,5020105,106,4101
652,6099142,111,4111
653,6124005,110,4127
654,2046087,108,4141
655,2062287,106,5215
656,5046388,110,4117
657,1086126,110,4109
658,6035187,112,4144
659,7043130,113,4107
661,6104026,101,4111
662,5004366,109,4101
663,6123156,106,4101
664,1098004,110,4101
665,6091105,114,4111
666,2056070,113,4127
667,2043421,116,4109
668,6089067,112,4208
669,6093020,106,4107
670,5046300,116,4109
671,5013016,106,4127
672,6110062,112,4144
673,4008293,114,4111
674,5058365,114,4109
675,6102001,115,4111
676,2047179,123,4124
677,6079017,101,4109
678,5059073,109,4107
679,6109044,116,4113
680,4006203,102,4107
681,2055060,111,4109
682,4025012,113,4107
683,3054048,117,4109
684,3001056,114,4109
685,6025074,110,4109
686,3001043,111,4109
687,5060070,106,4107
688,3001011,115,4109
689,6129089,107,4107
690,6130161,114,4111
691,6024155,120,4187
692,6035107,114,4111
693,6029015,106,4101
695,1040200,102,4107
696,5005274,109,4101
697,6091226,104,4105
698,6081136,106,4170
699,2053395,104,4136
700,3057028,117,4109
701,4012203,116,5254
702,6037085,111,5217
703,6035225,108,4111
704,6117030,106,5239
705,2054006,104,4117
706,6134028,116,4125
708,2016093,108,4141
709,3007117,113,4107
710,1040223,113,4107
711,6123025,113,4107
712,4043044,104,4136
713,6085283,115,4111
714,6117080,106,4127
715,1006032,102,520C
716,6078408,102,4128
718,3001046,103,4111
719,1123001,106,5201
720,4049053,112,4144
721,2041589,123,4124
722,5044489,103,4111
724,1085280,106,5239
725,2070336,109,4203
726,6061145,110,5227
727,2015319,122,4109
728,6092125,116,4125
729,6118181,101,4109
731,6101111,111,4125
732,6130016,112,4144
734,1025079,107,4107
735,6124010,104,4125
736,6084103,114,5305
737,6016044,101,4109
739,6037257,114,4109
740,2057038,103,4111
741,6093082,102,520C
742,7016176,104,4136
744,3007062,109,4101
745,7017367,110,4132
746,2032337,105,4125
747,6080432,108,4111
748,4007071,103,4111
749,2069323,109,4202
751,6080200,106,4121
753,2069170,115,4111
754,5058082,109,4109
755,1050071,105,4125
756,6095017,117,4107
757,2041188,105,4125
759,4061284,109,4202
762,1039029,110,4117
763,1062044,110,4117
764,6110073,104,4107
766,4023187,112,4109
768,5003490,114,4125
769,1074213,113,4117
771,6039110,106,5210
772,3003520,110,4107
773,6119061,116,4125
774,6080456,120,4111
777,6100084,104,4193
778,6040023,105,4125
779,6123118,112,4144
780,6117112,110,4132
782,1041301,119,4111
783,6136145,119,4110
784,6138053,106,5239
785,1085026,102,4128
787,6109231,108,4111
788,1101259,110,4107
789,6123069,106,5239
790,6096167,114,4109
791,2043325,115,4109
792,6091241,114,4130
793,6124105,117,4107
794,7020168,116,4125
796,2009223,116,4111
797,6077048,109,4125
798,2053135,116,5213
799,5061192,118,4111
800,6133144,106,4130
801,2062324,113,4109
803,6118340,121,4111
804,3041186,117,4107
805,6122015,116,4125
806,5030326,106,4122
807,2041383,113,4117
809,6093056,114,4125
810,2049042,104,4193
811,7021026,117,4107
812,6118092,114,4134
813,1085278,103,4109
814,1056038,117,4108
815,3003675,117,4117
817,6087442,106,4109
818,7007113,121,4111
819,5058253,106,4202
820,6023047,116,4125
821,6100027,106,5210
822,4008313,117,4108
823,5034351,117,4117
824,6094151,114,4125
825,2050407,103,4109
826,7017355,119,4111
827,2060578,112,4109
829,1018571,114,4114
831,3037161,117,4108
832,6137129,105,4125
833,2062200,102,4128
835,2068227,106,4202
836,6086013,121,4111
837,6089026,106,4101
838,4032099,109,4125
839,3003026,113,4107
840,6112099,116,4113
841,6124070,106,4130
842,5063355,116,5213
843,5051165,110,5227
844,2043377,103,4111
846,5013028,106,5208
847,1059177,102,520C
848,6035072,114,4125
849,6117001,120,4111
850,1041112,108,4111
851,5030582,114,4125
852,2076204,113,4136
853,6076292,101,4114
854,6008006,101,5255
856,6091039,106,5243
857,6137263,105,4125
858,6037328,114,4114
859,6080110,107,4109
861,6078086,113,4136
862,5017280,117,4108
863,6113069,114,4125
864,2051173,103,4109
865,6081117,117,4107
866,6115051,105,4111
867,4002028,101,4125
868,2055279,104,4105
869,2073175,115,4125
870,6092044,106,4122
871,2060371,114,4125
872,1102045,116,4126
873,5051191,110,4132
874,6096066,115,4111
875,1025070,113,4127
876,6135034,119,4111
877,6094102,107,4107
878,6118242,111,4125
879,6017126,107,4161
880,6081023,107,4107
881,6115217,110,4127
882,1046053,119,4111
883,3004103,113,4107
884,1085049,116,5233
886,6136023,109,4107
887,6131077,103,4111
888,3001096,112,4109
889,6123147,110,4132
890,6101016,116,4107
890,3001146,109,4109
892,6034173,113,5101
893,6079019,113,4127
894,7012187,113,4117
895,1022063,111,4125
897,6084343,121,4109
898,5005192,113,4136
900,4002357,106,5241
901,6085136,110,4132
902,5029186,113,4127
903,6139121,114,4125
904,5061021,102,4198
907,2047047,116,4107
909,2051182,109,4107
910,5063102,101,5288
911,6139059,101,4125
912,6083299,107,4118
914,2015247,104,4105
915,2031416,115,4125
917,4019100,118,4181
918,2050480,112,4109
919,6115241,116,4107
920,3003221,109,4123
921,6084102,116,4107
922,5063420,103,4125
923,5058054,109,4101
924,6123010,104,4105
925,6037083,123,4111
926,1086129,113,4125
927,2048356,116,5233
928,6085259,107,4161
929,6137272,110,5227
930,5021015,117,4125
930,4015321,104,4198
932,2061112,103,4125
933,5061423,116,4107
936,3003257,123,4111
937,6133028,116,4107
938,1018709,108,4107
939,6138016,107,4199
940,2057079,117,4198
941,5058250,112,4109
942,7009053,106,4105
943,6098251,123,4111
944,2013313,107,4191
945,2044100,119,4125
946,5047036,118,4111
947,6091093,107,4117
948,6090305,107,4125
949,6024101,116,4107
950,6085017,109,4123
952,3048057,121,4109
953,6131210,113,4127
954,6077233,116,4126
957,2050388,101,4125
958,3004135,108,4125
960,3054095,104,4139
961,2072067,113,5606
962,3045366,112,4125
