Rank,AdvRollNo,InsCode,BranchCode
385,1023029,116,4110
386,6062023,110,4111
387,4028094,109,4111
388,1082148,106,4115
389,6032146,116,4110
390,6029398,107,4185
391,4062040,117,4124
392,6064455,102,5217
393,2058184,113,4114
394,4005237,102,4125
395,4059558,113,4181
396,1018750,102,5217
397,5045228,107,4110
398,6081328,110,4111
399,2058318,113,4181
400,2043023,117,4124
401,4060291,117,4124
402,2020100,104,4112
403,4026106,105,4110
404,6089080,110,4111
405,4015288,107,4185
406,1001003,104,4112
407,6032129,110,4111
408,1100393,117,4124
409,3041208,116,5216
410,3025726,109,4111
411,6063098,102,5217
412,6133038,109,4203
413,3037212,117,4124
414,2061259,104,4112
416,3025904,113,4181
417,6059490,110,4111
418,7017013,102,5217
419,1117061,107,4185
420,4068066,117,4124
422,2072239,117,4124
423,6078437,102,4111
424,2073007,105,4110
426,2060353,102,5217
427,1014067,107,4185
428,4032093,105,4110
429,2027232,104,4112
430,6029293,107,4124
431,5044409,117,4124
432,7045444,102,5217
433,4002280,117,4124
434,6062308,110,4111
436,2010278,113,4114
437,4016588,104,4112
438,2048087,102,5217
439,2061208,110,4111
440,1089126,102,4125
441,6043348,110,4111
442,3018046,105,4110
443,2045006,102,5217
445,2075042,117,4181
446,4001127,111,4110
447,6059457,110,4111
448,1082044,106,4115
449,4061363,106,4115
450,4053131,104,4112
451,6064302,110,4111
452,5009021,106,4115
453,6041055,110,4111
454,6071014,110,4111
455,2004354,102,5217
456,4035423,116,5216
457,1055073,117,4181
458,2074170,117,4181
460,1033180,105,4110
461,5044225,106,4115
462,2044548,109,4111
463,2025197,109,4111
465,4067104,102,5217
466,4015390,109,4203
467,6030419,102,5217
469,4062198,105,4110
470,2071087,117,4181
471,1099677,117,4124
472,6041253,105,4110
473,1073503,111,4110
474,4057117,102,4125
475,6092267,106,4115
476,6077411,106,4115
477,2059363,104,4112
478,5047161,104,5216
479,6079206,110,4111
480,6038297,109,4110
481,2075209,106,4208
482,6064333,110,4111
483,1079093,106,4115
484,6076202,106,4115
485,1081001,117,4124
486,1002074,102,5217
487,4041385,104,4112
488,1100140,113,4110
489,2052062,102,5217
490,6017092,110,4111
491,6072004,110,4111
492,6108148,113,4114
493,6067033,110,4111
494,6037376,106,4208
495,6132091,117,4124
497,2057164,117,4124
498,3027177,106,4115
499,3012019,104,4112
500,6077472,105,4110
501,5062022,106,4115
502,6084172,106,4115
503,4002181,110,4111
