Rank,AdvRollNo,InsCode,BranchCode
51,1121073,104,5216
52,1012069,109,4110
53,6057456,110,4110
54,6087117,110,4110
55,5084105,106,4110
56,1013064,109,4110
57,2092270,104,5216
58,7039321,104,4111
59,5085005,106,4110
60,1179093,109,4110
61,7007013,109,4110
62,7033161,104,5216
63,4075057,109,4110
64,7057245,104,4111
65,7069139,106,4110
67,2039174,109,4110
68,7029005,102,4111
69,3087127,106,4110
70,1004415,102,4110
71,1121055,109,4110
72,5089416,106,4110
73,1088054,113,4110
74,3064089,109,4110
75,6216060,102,4110
76,4104087,109,4110
77,1055026,106,4110
78,2055147,109,4110
79,2072232,102,4125
80,4086067,109,4110
82,1023218,109,4110
83,6111005,106,4110
84,5065274,104,4124
85,6076193,109,4110
86,2029041,104,4124
87,6178004,110,4111
88,2026019,104,4111
89,2107276,109,4110
90,1060122,102,4111
91,4040352,109,4110
92,6065043,113,4110
93,1033014,113,4110
94,7038034,113,4110
95,4034248,113,4110
96,1125103,102,4111
97,4069055,109,4111
98,2093131,113,4110
99,1146023,102,4111
100,7039191,113,4110
1,1102306,102,4110
4,1116043,102,4110
5,1046136,102,4110
6,5075082,104,4110
7,1135018,102,4110
8,7026302,102,4110
9,1074117,102,4110
10,6203191,110,4110
11,6158282,110,4110
12,6106080,102,4110
13,6092080,102,4110
14,5075009,102,4110
15,7003067,102,4110
16,2102333,110,4110
17,7089007,102,4110
18,7057115,102,4110
19,7035205,104,4110
21,5082141,102,4110
22,5005378,110,4110
23,6105085,110,4111
24,1034012,102,4110
25,6187367,102,4110
26,1003064,102,4110
27,3087185,102,4110
28,7039325,104,4110
29,1109042,102,4110
30,5096116,110,4110
31,2078378,104,4110
32,1142209,104,4110
33,5044076,104,4110
34,2016103,104,4110
35,6107178,102,4110
36,5027191,104,4110
37,4031080,104,4110
38,2093083,104,4110
39,4029004,104,4110
40,6198066,102,4110
41,7036008,104,4110
42,1044103,110,4110
43,5082072,106,5216
44,1102471,102,4111
45,3087188,106,4110
46,2027008,104,4111
47,1016005,104,5216
48,5095001,106,4110
49,6204018,110,4110
50,6026103,110,4110
101,5035265,113,4110
102,6009002,113,4110
103,1127031,102,4111
104,2077011,104,4124
105,2071059,104,4124
106,6098160,113,4110
107,2100170,102,4110
108,6105187,110,4101
109,2041037,113,4110
110,1084047,102,4125
111,3086008,113,4110
112,4075071,104,4124
113,7067036,117,4110
114,7078128,117,4110
115,6189010,117,4110
116,7083080,117,4110
117,5099075,106,4115
118,1176144,102,4111
119,6022122,110,4110
120,2113038,104,4124
121,7034010,104,4110
122,2090131,104,4110
123,2054438,107,4110
124,1137020,106,5216
125,7002107,104,4124
126,1038246,106,5216
127,1088021,117,4110
128,4006053,104,5216
129,6190114,107,4110
130,4097101,106,4115
131,1037136,110,4101
132,2108004,117,4110
133,4006013,106,5216
134,1052025,117,4110
135,2018205,104,4111
136,6162038,110,4111
137,1056026,107,4110
138,7039124,117,4110
139,7001101,113,4114
140,6031082,110,4111
141,1023385,102,4111
142,2119011,117,4110
143,5090633,106,4115
144,7081038,104,4111
145,3087053,104,4111
146,1023175,113,4114
147,6013084,107,4110
148,4034111,117,4110
149,1081148,117,4110
151,2109163,110,4110
152,6045145,106,4110
153,5083090,106,4115
154,1102037,102,4111
155,1090027,107,4110
156,6085099,102,4111
157,7012436,117,4110
160,5063009,117,4110
161,7064142,104,4124
163,7080058,104,4111
164,7072239,104,4124
165,6230028,107,4110
166,6099062,117,4110
167,7076168,104,4124
168,5053148,106,5216
169,1037278,110,4111
170,5015066,107,4110
171,6104318,102,4111
172,4006066,106,5216
173,2076802,104,4111
174,5098067,106,5216
175,1119016,104,5254
177,1119206,104,5254
178,7088245,117,4124
179,3054068,109,4110
180,6031054,107,4185
181,6104223,110,4110
182,4060099,102,4125
183,1176149,102,4111
184,7090071,105,4110
185,1032041,111,4110
186,4106021,104,4111
187,4080188,113,4114
188,2105056,102,4125
189,5035303,104,4111
190,7002166,115,4110
191,1074103,105,4110
192,4031137,104,4109
193,6049048,110,4111
194,2076787,106,4115
195,7074014,104,4111
196,2054129,105,4110
197,7026456,116,4110
198,1085031,110,4111
199,1154011,102,4125
200,1122067,102,4125
201,5036093,116,4110
202,2045204,104,5254
203,4081019,104,4111
204,1061202,104,4111
205,5075145,106,4110
206,4002145,105,4110
207,4063185,116,4110
208,6016132,102,4117
209,6166075,110,4111
210,2077256,109,4111
211,2045240,106,4115
212,4082091,109,4111
213,2077607,102,4125
214,2063234,116,4110
215,1101272,102,4125
216,4073118,116,4110
217,7065089,102,4101
218,2087353,109,4110
219,4078100,109,4111
220,6161366,110,4111
221,5083062,106,4115
222,2073196,113,4114
223,4034154,102,5217
224,1104005,110,4111
225,2112033,116,4110
226,4111043,113,4114
227,1129037,102,4125
228,2103055,105,4110
229,6111113,107,4110
230,5050039,104,4109
232,4090141,102,4101
233,4093087,113,4114
234,4082079,116,4110
235,6191053,116,4110
236,1051052,110,4111
237,6096158,106,4115
238,1119230,110,4125
239,4009264,104,5254
240,4001537,102,5217
241,7085185,110,4111
242,2040008,116,4110
243,2101050,110,4111
244,2019063,113,4114
245,2100109,102,5217
246,2097050,113,4114
247,1108067,105,4110
248,6219051,107,4185
250,1117220,110,4111
251,2094133,109,4111
252,5054220,109,4111
253,7026396,102,4125
255,7057242,102,4101
256,1134499,106,4115
257,4019034,105,4110
258,5040161,106,4115
259,1029059,102,5217
260,5046029,102,4125
261,6226115,107,4110
262,1038084,105,4110
263,6134008,102,4125
264,7012364,102,5217
265,6174137,102,5217
266,1121024,102,4125
267,4064056,109,4111
268,4077119,116,4110
269,7063102,109,4111
270,6022025,110,4111
271,2008055,104,4112
272,1030096,116,4110
273,4082049,109,4111
274,2097122,109,4111
275,7077037,115,4110
276,2092326,113,4114
277,6022110,109,4110
278,1033033,104,4112
279,2023031,104,4112
