Rank,AdvRollNo,InsCode,BranchCode
56,1041119,110,4110
57,6161289,110,4110
58,6038037,110,4110
59,6232062,110,4110
60,6081049,110,4110
61,5008166,110,4110
62,6076217,104,4110
63,5011034,104,4110
64,7061138,104,4110
65,1164038,110,4110
66,1103236,102,4111
67,6199067,104,4110
68,1137054,104,4110
69,5024234,102,4111
70,6204202,110,4110
71,6027121,104,4110
72,5006240,110,4110
73,6071043,104,4110
74,6108017,110,4110
75,5037013,102,4111
76,5025106,104,4110
77,5002055,110,4110
79,1144002,104,4110
80,3072039,104,4110
82,6110065,110,4110
83,2035198,104,4110
84,1142147,102,4111
85,6110028,110,4110
86,6222073,110,4110
87,5024237,110,4110
88,2028171,109,4110
89,3056079,109,4110
90,5027325,109,4110
91,4092071,109,4110
92,6190174,110,4110
93,2076250,109,4110
94,5015006,106,4110
95,6115021,102,4111
96,5081089,106,4110
97,6072037,106,4110
98,6169040,102,4111
99,6208165,107,4110
101,2109132,109,4110
102,5002199,106,4110
103,7015022,109,4110
104,6158112,110,4111
105,2064074,109,4110
106,3013086,104,5216
6,5011024,102,4110
7,6205055,102,4110
8,1125060,102,4110
9,3073004,102,4110
10,3077032,104,4110
11,6205153,102,4110
12,6092106,102,4110
13,6192126,102,4110
14,6189425,102,4110
15,6107100,102,4110
16,6187077,102,4110
17,5007263,102,4110
18,2045048,102,4110
19,1145035,102,4110
20,6104056,102,4110
21,6121015,102,4110
22,2084086,102,4110
23,2046374,104,4110
24,6188146,102,4110
25,6126017,102,4110
26,6195240,102,4110
27,6104049,102,4110
28,5059093,102,4110
30,6162159,102,4110
31,6069007,102,4110
32,5025093,102,4110
34,5081096,102,4110
35,6164208,110,4110
36,2076291,102,4110
37,3040126,102,4110
38,1158163,102,4110
39,5046082,102,4110
40,2037123,102,4110
41,6104108,102,4110
42,1087074,102,4110
43,6233015,102,4110
44,2102306,102,4110
45,5006124,104,4110
46,3025097,104,4110
47,7078075,104,4110
48,6233060,104,4110
49,4089261,104,4110
51,5024160,110,4110
52,6165115,110,4110
53,5005028,104,4110
54,5007208,104,4110
55,5068109,106,4110
107,6106200,106,4110
108,6105143,106,4110
109,5009048,106,4110
110,4044040,109,4110
111,7037118,109,4110
112,1178097,109,4110
113,1147021,102,4111
114,6116069,110,4111
115,2100474,104,4124
116,6105025,104,5216
117,7038072,104,5216
118,6028037,110,4111
119,5057189,109,4110
120,1033127,109,4110
121,5073067,106,4110
122,6108072,106,4110
123,2087008,102,4111
124,3080027,109,4110
125,6193033,106,4110
126,2102139,109,4110
127,2092269,109,4110
128,1082018,109,4110
129,1061257,109,4110
130,6098404,109,4110
131,2078599,109,4110
132,3078156,109,4110
133,6177010,113,4110
134,4049008,106,4110
135,6056050,106,4110
136,6232378,106,4110
137,4074062,109,4110
138,5082227,106,4110
139,4063156,109,4110
140,7066072,104,5216
141,6104388,102,4110
142,6093030,102,4110
143,1086079,109,4110
144,4001341,109,4110
145,4025056,109,4110
146,6195248,106,4110
147,3049168,104,5216
148,2081061,104,4124
149,6042087,106,4110
150,7049102,104,5216
151,6142007,110,4111
152,3044078,109,4110
153,6215071,113,4110
155,4009175,104,5216
156,5001027,104,5216
157,6189452,107,4110
158,6040047,106,5216
159,3035038,106,5216
160,6202232,106,5216
161,6196239,113,4110
162,1064015,102,4111
163,5054089,113,4110
164,4031024,104,4124
165,4086011,113,4110
166,6257007,113,4110
167,6189293,113,4110
168,5080009,106,5216
169,3021051,104,4124
170,3042014,113,4110
172,6191440,113,4110
173,2109210,113,4110
174,6076147,113,4110
175,5010078,107,4110
176,3024058,113,4110
177,2046359,104,4124
178,2100446,102,4111
179,2078054,113,4110
180,2076242,104,4124
181,3056101,104,4124
182,1066065,113,4110
183,6062019,107,4110
184,2076697,113,4110
186,3058111,104,4124
187,1144008,102,4111
188,1003177,113,4110
189,6161320,110,4111
190,6129212,102,4111
191,6168052,110,4111
192,6168312,110,4110
193,3012098,113,4110
194,5024266,102,4111
195,4108044,113,4110
196,6083067,102,4110
197,6028078,113,4110
198,4024133,113,4110
199,6232338,107,4110
200,5052115,102,4110
201,2090407,113,4110
202,1024219,102,4111
203,6129023,110,4111
204,2114125,104,4124
205,5077124,113,4110
206,5024087,106,5216
207,2077244,117,4110
208,6186419,107,4110
209,6189053,107,4110
210,6203173,107,4110
211,5008002,106,5216
212,6226035,107,4110
213,5005202,106,5216
214,3050061,104,4124
215,2003083,106,5216
216,1125013,106,5216
217,6275101,117,4110
218,6257351,107,4110
219,6094026,107,4110
220,6194001,104,4124
221,1097078,107,4110
222,7026522,117,4110
223,7033166,102,4111
224,6265081,117,4110
225,7003005,104,4111
226,5037010,102,4125
227,7065021,104,4124
228,6187073,107,4110
229,5047116,104,4124
230,7035359,117,4110
231,2092218,102,4111
232,5013070,117,4110
233,2035101,117,4110
234,1144170,102,4111
235,4071217,102,4111
236,6161055,110,4111
237,7002013,104,4124
238,6191007,107,4185
239,2087266,106,5216
240,4090064,102,4111
241,2044011,104,4124
242,1176092,106,5216
243,4008280,117,4110
244,3038208,104,4111
245,6224094,107,4185
246,6203186,110,4111
247,6191203,106,5216
248,5012087,104,4124
249,5005126,110,4111
250,6083024,104,4124
251,1014080,102,5217
252,1101095,104,4124
253,2049096,117,4110
254,5054081,106,5216
255,4003180,117,4110
256,1154014,107,4185
257,6031069,117,4110
258,4058067,104,4111
259,2052114,113,4114
260,6227054,110,4111
261,6227055,117,4110
262,1160207,102,5217
263,2072135,104,4111
264,6223201,117,4110
265,6162202,110,4111
266,6168112,110,4111
267,4013123,117,4110
268,4018075,104,4111
269,6049111,104,4111
270,1059310,107,4185
271,6250084,106,4115
272,3038098,104,5254
273,2110180,104,4111
274,4008491,105,4110
275,3040021,104,4111
276,2039010,117,4110
277,1143076,117,4110
279,3030055,104,4111
281,6203031,104,5254
282,7089081,104,5254
283,4070040,117,4110
284,3040044,117,4110
285,2045264,104,4111
286,6187092,110,4111
287,7078181,102,4110
288,6229003,117,4110
289,2076618,104,4111
290,4122138,104,5254
291,5023028,110,4110
292,4015113,104,5254
293,7008038,102,4110
294,6206078,107,4185
295,5058051,104,4111
296,4018031,104,4111
297,2065192,104,4111
298,2110115,117,4110
299,2095075,117,4110
300,1143204,117,4110
301,4024052,104,4111
302,3017100,117,4110
303,3038032,104,4111
304,6162050,104,5254
305,3017096,117,4124
306,6162028,110,4111
307,6174232,110,4111
308,6010042,110,4111
309,6104495,116,4110
310,5030108,116,4110
311,1102447,116,4110
312,2082362,104,5254
313,5091609,117,4124
314,1144145,105,4110
315,2071029,104,4111
316,4068196,102,4125
317,2076482,104,4111
318,4015169,116,4110
320,6194106,105,4110
321,5048099,117,4124
322,6047040,110,4111
323,2068061,116,4110
324,4015107,104,4111
325,2083050,116,4110
326,6178238,110,4111
327,6129040,110,4117
328,5060050,116,4110
329,6274154,116,4110
330,2109123,116,4110
331,7012497,109,4203
332,5079111,106,4115
333,5012069,110,4111
334,1143191,102,5217
336,6023080,116,4110
337,2093072,104,4111
338,5016073,102,4110
339,7032160,104,4111
340,3047129,104,4111
342,6234092,102,4125
343,3036006,104,4111
344,7012189,117,4124
345,6076168,110,4110
346,6234038,106,4115
347,3054138,102,4125
348,4005002,104,4110
350,2063115,116,4110
351,2110077,109,4203
352,5004077,104,4111
353,3050100,106,4115
354,7002178,116,4110
355,1038242,110,4111
356,2073040,116,4110
357,1144201,102,5217
358,2110164,104,4110
359,1029076,102,4125
360,2104066,104,4111
362,5046023,116,4110
363,2111182,102,4125
364,2019289,116,4110
365,7009096,104,4111
366,4105021,104,4112
367,3061096,110,4111
368,6101169,110,4111
369,5025038,106,4115
370,5053197,117,4124
371,6008014,105,4110
372,4085033,116,4110
373,2050040,116,4110
374,7084022,109,4203
375,7016162,110,4111
376,3056115,116,4110
377,2023112,116,4110
378,2072181,109,4111
379,5024272,110,4111
380,6107096,116,4110
381,3080058,109,4111
383,3048005,117,4124
384,2038055,102,5217
385,1013069,105,4110
386,6107228,106,4115
387,5043167,106,4115
388,5007029,105,4110
390,2075041,117,4124
391,2102352,102,5217
392,5025131,110,4111
393,2045295,117,4124
394,7071084,109,4203
395,2086071,113,4114
396,4066109,104,4112
397,2114208,113,4114
398,6074039,110,4111
399,1157314,113,4114
400,1105100,110,4111
401,4002454,107,4124
402,6166011,110,4110
403,3041057,106,4115
404,1101144,106,4115
405,2078374,104,4112
406,6270008,106,4115
407,4018003,104,4110
409,1011091,117,4124
410,2110056,102,5217
411,6104256,110,4111
412,4087151,106,4115
414,3017076,109,4203
415,1118008,102,5217
416,6194037,106,4115
417,1096079,106,5506
418,6115124,110,4111
419,2104070,102,5217
420,6168084,113,4114
421,4119005,106,4115
422,6149068,102,5217
423,4015278,105,4110
424,2078540,104,4110
425,4080178,105,4110
426,4049024,109,4111
427,6168369,110,4111
428,6174216,110,4125
429,6124021,107,4124
430,6040016,106,4115
431,1146041,117,4124
432,2116244,105,4110
433,4067250,106,4115
434,1103237,102,5217
436,2051120,113,4114
437,1025007,113,4114
438,6198008,104,4110
439,6126075,102,5217
440,5019001,117,4124
441,3044233,109,4111
442,2110095,117,4124
443,6225021,107,4124
444,2102054,106,4115
445,1142283,102,5217
446,3076043,102,5217
447,4099040,102,5217
448,5012025,102,5217
449,3045086,109,4203
450,2082263,113,4114
451,2080028,105,4110
452,6076199,106,4111
453,6135033,106,4115
454,6173057,110,4111
455,3015061,116,5216
456,2077227,113,4114
457,2016115,104,4112
458,2023043,102,5217
459,1120040,106,4115
460,5005306,106,4110
461,2048032,117,4124
462,2010129,104,4112
463,2073155,102,4125
465,1047001,105,4110
466,1171034,102,5217
467,2087097,109,4111
468,2072003,109,4111
469,4042060,109,4111
470,1158287,109,4111
471,2039218,109,4203
472,6208107,109,4110
473,6059118,110,4125
474,6186509,117,4124
475,2100093,109,4203
476,4023262,109,4111
477,1024041,105,4110
478,6132055,110,4125
479,5035281,113,4114
480,5100072,104,4112
481,3033079,116,5216
482,1145044,102,4125
483,1101138,105,4110
484,5043175,109,4203
485,1082139,105,4110
487,1004347,105,4110
488,4114112,116,4110
489,1146030,102,4125
490,6153050,109,4111
491,2046367,104,4112
492,2085100,104,4112
493,1046026,102,4125
494,5017026,106,4115
495,6108083,106,4111
496,6188325,105,4110
497,3020050,113,4114
498,6221111,105,4110
499,2114009,109,4203
500,6252020,107,4111
501,1176161,102,4125
502,7081009,104,5216
503,4095120,109,4111
504,5009022,106,5225
505,2109017,102,4125
506,5053012,106,4110
507,6249112,102,4117
508,4023153,102,4101
509,2031142,116,5216
510,4043026,109,4111
511,6107078,113,4114
512,3044089,113,4114
513,4125028,113,4114
514,2084095,113,4114
515,1157166,109,4111
516,4008437,113,4114
517,2037030,113,4114
518,7009018,116,5216
519,2049114,102,4107
521,3041015,116,5216
522,5002172,106,4110
523,3078015,109,4110
524,5083181,109,4111
526,2083002,109,4111
527,3032018,113,4114
528,4128018,113,4114
529,6074008,116,5216
530,6046047,111,4110
531,4127030,109,4111
532,5027256,104,4112
533,1016078,102,4125
534,6101030,101,4110
535,5052054,116,5216
536,4049003,109,4111
537,6190349,113,4114
538,1122110,102,4101
539,7008070,113,4114
540,2077438,106,4111
541,2116088,109,4111
542,2076099,109,4111
543,2100344,104,4112
544,6159149,110,4125
545,6224106,106,5506
546,3030164,109,4203
547,4122056,114,4110
548,6164145,110,4125
549,6133013,109,4111
550,2077502,102,4125
551,4094066,109,4111
552,4007189,109,4111
553,3027063,114,4110
554,7084160,113,4114
555,1143125,102,4125
557,4089045,101,4110
558,2019197,110,4125
559,4011087,111,4110
560,1080070,109,4111
561,5043237,114,4110
562,6116116,109,4111
563,2077639,109,4111
564,2019441,102,4125
565,6246051,106,4110
566,2081367,102,4202
567,4084105,109,4111
568,1008015,102,4107
569,7012380,104,4112
570,2111055,102,4125
571,6223178,107,4111
572,1084092,102,4125
573,2090180,111,4110
574,1159330,102,4111
575,1014001,111,4110
577,6143029,110,4125
578,2049144,117,4114
579,6059255,111,4110
580,3074003,106,5506
581,2072171,109,4111
582,6073015,101,4110
583,4132015,106,4111
584,6169044,110,4125
585,1143095,109,4203
586,3051016,102,4125
587,2097188,104,4112
588,2077595,104,4112
589,3037086,109,4111
590,5004045,106,4111
591,6159214,102,4111
592,3037283,109,4203
593,2104075,109,4111
594,6183022,110,4125
595,4060088,109,4111
596,1073038,109,4110
597,6224066,106,4111
598,5078104,106,5506
599,3052130,109,4203
600,4002178,109,4111
601,6169038,102,4125
602,1159262,109,4111
603,1121146,110,4101
604,2081443,102,4101
605,6091112,110,4125
606,2111068,109,4111
607,3040012,104,4125
608,4060128,116,5254
609,4026003,102,4202
611,1031227,102,4125
613,2120111,103,4110
614,4075222,104,4109
615,1157294,109,4111
616,7009136,109,4111
617,6271097,109,4110
618,4065099,109,4111
619,2003112,117,4114
620,6205040,109,4111
621,1119138,102,4125
622,2055853,109,4111
623,3034044,104,4125
624,6146005,109,4111
625,6278018,107,4111
626,6147063,106,4111
627,6168350,106,5225
629,2080174,111,4110
630,1027002,113,4111
631,4051166,106,4111
632,1004274,106,4111
633,4011188,117,4114
634,5005430,106,5225
635,3061144,106,4111
636,2100278,106,4111
637,1051005,102,4125
638,2103034,106,5506
640,7078083,106,4111
641,5028163,106,4111
642,6163032,110,4125
643,2089096,116,5254
644,6070022,106,5225
645,1038086,117,4114
646,2110089,106,4111
647,3038055,112,4110
648,5054032,104,4125
649,1005094,116,5254
650,5055091,102,4125
651,7016015,101,4110
652,2054717,113,4111
653,6157001,113,4111
654,2077062,113,4111
655,3053090,117,4114
656,3059113,106,4111
657,1081427,113,4111
658,5014029,114,4110
659,2054423,104,4192
660,6257150,107,4111
661,2080063,113,4111
662,4043033,104,4125
663,6240145,106,4111
664,4050117,106,4111
665,6269034,107,4110
666,4041126,117,4114
667,2092193,102,4109
668,6124029,110,4125
669,2095112,113,5502
670,4036057,113,4111
671,6202272,116,5254
672,6161060,110,4125
673,3061108,109,4110
674,7086152,115,4110
675,2039149,112,4110
676,3023121,102,4125
677,3067032,109,4110
678,2035077,102,4101
679,1158122,104,4192
680,2077173,102,4101
681,6072009,116,4113
682,4078038,106,5225
683,3088122,113,4111
684,1159166,102,5235
686,4075168,114,4110
687,6227007,106,5225
689,6161041,113,4111
690,6087213,107,4111
691,2104094,113,4111
693,4018005,113,4111
694,4100085,109,4125
695,6016123,101,4110
696,7011033,104,4125
697,2101236,102,4125
698,2054187,113,4111
700,4059028,113,4111
701,5053092,114,4110
702,2081235,113,4111
703,4081114,102,4125
704,1129025,104,5216
705,6196210,102,4125
706,6053114,113,4111
708,4062200,106,5225
709,5067084,101,4110
710,6158131,110,4125
711,3047137,106,5506
712,5013028,110,4125
713,6074003,101,4110
714,2065134,104,4124
715,5083098,117,4114
716,2018278,102,4125
717,6269040,111,4110
718,6141037,107,4111
719,1023443,102,4202
720,7017007,112,4110
721,2108078,106,5506
722,5024196,117,4114
723,6166064,106,5216
724,6123482,117,4114
725,1143073,102,4125
726,1120302,114,4110
727,2077270,113,4111
729,4023155,106,5506
730,6247098,111,4110
731,2081186,104,4124
732,3090021,106,5506
733,3013241,102,4125
734,6247059,101,4110
735,6211041,117,4114
736,5078023,106,5225
737,4117071,114,4110
738,2065071,117,4114
739,2020175,104,4192
740,3033003,106,5225
741,3032048,114,4110
742,2112022,102,4202
743,1019004,113,4111
744,2102299,106,5506
745,1045079,102,4125
746,1183065,102,4202
747,6226064,101,4110
748,1038056,102,4117
750,6107109,117,4114
751,2045257,102,4125
752,3031149,102,4117
753,7004098,104,4125
754,6273081,107,4111
755,7002012,113,4110
756,1014026,102,4125
757,7008184,104,4125
758,2081611,113,4111
759,2072021,113,4111
760,6107182,117,4114
761,4115057,113,4111
762,5081108,117,4114
763,2077315,106,5506
764,5010147,106,4125
765,6204237,117,4114
766,3007064,101,4110
767,4015028,111,4110
768,3030083,102,4125
769,7072250,113,4111
770,2086138,106,5506
771,2080201,113,4111
772,2116202,113,4111
773,6098167,110,4125
774,3045119,116,5254
775,7031186,115,4110
776,6134040,110,4125
777,4052081,117,4114
778,4080124,113,4111
779,6186025,117,4114
780,2065026,102,4206
781,6082015,106,5225
782,6123192,107,4111
784,6185307,116,5254
785,2114142,113,5502
786,6172024,110,4125
787,1032052,116,5254
788,3074045,113,4111
789,3053030,113,4111
790,1119150,113,4111
791,4123083,106,5506
793,4093065,116,5254
794,7035141,115,4110
795,3037254,101,4110
797,2076138,104,4125
798,4089163,106,5506
799,7067057,115,4110
800,3012074,115,4110
801,6171025,113,4111
802,5053243,115,4110
803,1004398,108,4110
804,5007238,117,4114
805,3041065,106,5506
806,4037036,117,4114
807,3038148,102,4107
808,6207184,110,4125
809,6273091,117,4114
810,1077104,104,4125
811,6099034,110,4125
812,1058113,106,5225
813,4076233,116,5254
815,1084127,101,4110
816,5011113,114,4110
817,6232101,117,4114
819,5012004,106,5225
820,6160035,110,4125
821,5059034,113,4111
822,3055014,110,4125
823,1041016,104,4124
824,2037043,106,5225
825,2077406,104,4125
826,7039015,104,4192
827,4020001,102,4101
828,2111102,104,4125
829,2082314,113,4111
830,1040244,110,4125
831,6158267,110,4125
832,6175055,102,4101
833,4117004,116,4113
834,4045127,113,4111
835,4093032,113,4111
836,4132061,113,4125
838,5084081,115,4110
839,2019246,104,4109
840,6094056,110,4125
841,4020007,115,4110
842,1109032,113,4111
843,6045168,104,4125
844,2104042,104,4124
845,2040144,113,4110
846,1038223,114,4114
847,3072018,104,4125
848,6079067,101,4110
849,6087458,110,4125
850,5059075,104,4125
851,6097002,107,4111
852,5059006,117,4116
853,2114056,104,4125
854,3011018,114,4110
855,4011042,115,4110
856,1077069,102,4101
857,1083047,102,4111
858,7083294,116,4113
859,2073142,115,4110
860,2077487,102,5235
861,4046034,113,4110
862,7054056,116,5254
863,6147157,110,4111
864,2111188,104,4125
865,5096060,114,4110
866,1025014,115,4110
867,6233101,107,4111
868,1158278,116,4113
869,2078302,104,4125
871,2024130,113,4111
872,6124100,102,4111
873,4066111,102,5235
874,1004173,114,4110
875,6191457,106,5222
876,2055515,104,4107
877,3063097,114,4110
878,2024020,110,4125
