Rank,AdvRollNo,InsCode,BranchCode
50,6233094,106,4110
51,6161294,113,4110
52,6196267,102,4111
53,2086156,104,4109
54,1040190,113,4110
55,3002114,104,5216
56,6248090,107,4110
57,6190078,113,4110
58,7022027,113,4110
59,6235044,104,4111
60,2102208,104,4109
61,2100207,104,4112
62,2090281,113,4110
63,2105050,109,4110
64,3007024,110,4109
65,1029020,113,4110
66,1014111,113,4110
67,7048092,117,4110
68,2084002,102,4109
69,2080143,102,4111
70,1053036,117,4110
71,2041024,104,4111
72,6195203,110,4111
73,2094002,117,4110
74,2077125,104,4125
75,2100129,104,4111
76,6219086,107,4110
77,1145026,104,4124
78,2043015,102,4109
79,2100349,102,4111
80,2066409,102,4111
81,2077065,104,4112
82,2076227,109,4111
83,2081558,104,4109
84,1026015,117,4110
85,2081920,102,4109
86,2057209,117,4110
88,2084038,117,4124
89,2087471,102,4111
90,2076154,104,4124
91,1138058,102,4111
92,2076871,102,4111
93,6094030,117,4110
94,2090327,106,5216
95,2101321,117,4110
96,6222148,107,4110
97,3005074,107,4185
98,7059043,104,4124
1,2090351,102,4110
2,6192465,102,4110
3,6249078,110,4110
4,3038114,109,4110
5,1024174,102,4110
6,2084101,102,4110
7,2103049,102,4110
8,6061038,102,4110
9,2100309,104,4111
10,6057394,102,4110
11,1044163,102,4110
12,6104233,102,4110
13,6186205,102,4110
14,5013123,110,4110
15,6091063,104,4110
16,2075056,104,4110
17,2090346,104,4110
18,6060021,110,4110
19,6201081,110,4110
20,4080172,104,4110
21,1142047,110,4110
22,2100420,104,4111
23,6195245,110,4110
24,2101304,104,4109
25,5050194,104,4110
26,6192071,109,4110
27,4034182,102,4110
28,6058087,104,4111
29,2101114,102,4109
31,2063123,109,4110
32,4035049,104,4110
33,7069188,104,4109
34,2078695,104,4109
35,4012068,109,4110
36,6008089,106,4110
38,7041061,104,5216
39,2077640,104,4111
40,2104030,109,4110
41,2081876,109,4110
42,2100138,109,4110
43,2090046,109,4110
44,1162061,107,4110
45,2075020,104,4109
46,2076260,106,4110
47,2110040,104,4111
48,3007048,110,4109
49,1139043,106,4110
99,1040126,107,4185
100,3054102,109,4111
101,7048053,104,4124
102,6187454,110,4111
103,6201188,110,4111
104,2031156,106,5216
105,7039333,113,4114
106,6269158,106,5216
107,2081859,104,4125
108,2102201,102,4109
109,6236015,110,4111
110,2100386,102,4125
111,2082153,102,4101
112,3073055,116,4110
113,2081332,102,5217
114,2101428,116,4110
115,2117040,102,4109
116,1119273,105,4110
117,2087220,109,4111
118,2107013,104,4112
119,5049032,104,4124
121,2057072,104,4124
122,6072008,116,4110
123,2076572,102,5217
124,3048131,104,4124
125,7044018,105,4110
126,2076661,104,4125
127,2021115,104,5254
128,2081512,113,4114
129,1027056,105,4110
130,1102457,102,5217
131,2081082,102,4109
132,5052189,116,4110
133,6174249,110,4107
135,1075105,110,4111
136,2078078,102,4109
137,2086249,102,4109
138,2077245,116,4110
139,2101183,102,4109
140,2102111,109,4111
141,6101200,113,4114
143,6232395,110,4111
144,2077540,113,4111
146,6229153,104,5254
147,1028010,106,4110
148,6211060,104,5254
149,6201017,106,4115
150,6223004,105,4110
151,1134167,101,4110
152,7044052,113,4110
154,5077034,102,5217
155,1064019,116,4110
156,2066265,102,4109
157,2077063,102,4125
158,2076640,102,4125
159,4078083,104,4125
160,1002003,102,5217
161,2076065,109,4111
162,6096251,106,4115
163,1021045,102,5217
164,2071012,109,4111
165,2104002,110,4111
166,3013191,116,4110
167,5047093,106,4115
168,2076071,109,4111
169,2108169,117,4124
170,2076275,109,4111
171,6210141,110,4111
172,2078300,106,4111
173,2082322,110,4111
174,2101415,114,4110
175,2108145,104,4112
176,2090012,113,4109
177,2107082,109,4109
178,5068011,104,4125
179,1061196,110,4111
181,2076701,109,4111
182,6195006,106,4115
183,1087070,102,4125
184,2080023,104,4125
185,6187319,110,4111
186,2079105,109,4109
187,3004270,117,4125
188,1033129,111,4110
189,5068122,106,4111
190,5084004,111,4110
191,2076800,113,4111
192,2081916,104,4111
193,1006106,102,5217
194,2081052,109,4109
195,2090087,113,4109
196,1144143,106,4115
197,1029077,102,4101
198,4009120,104,4117
199,2101184,109,4111
200,5054082,106,4111
201,1013013,107,4110
202,3014026,113,4110
203,1010063,102,4125
204,2076103,109,4111
205,2076674,106,4111
206,2077635,106,4111
207,2086234,113,4111
208,2077567,116,5216
209,1003005,113,4114
210,6187115,107,4111
211,6075027,101,4110
212,5100014,106,4125
213,6232102,110,4111
214,2079225,109,4109
215,2110157,113,4114
216,3038197,103,4110
217,1076158,110,4125
218,6251054,110,4109
220,5035478,102,4107
221,2106001,113,4114
222,1023027,102,4107
223,5035349,106,5225
224,5091529,106,5225
225,2087149,113,4109
226,3005088,111,4110
227,2030010,104,4107
228,6206123,102,4109
229,1061011,107,4111
230,6248017,113,4111
231,2078418,102,4125
232,3002207,113,4114
233,6277026,117,4110
234,2024011,113,4111
235,2076388,104,4109
236,7044076,114,4110
237,6072093,107,4111
238,6273001,117,4114
239,2105002,113,4109
240,7057025,116,5216
241,1032049,116,4110
242,3004399,117,4124
243,5043227,106,5225
244,1006021,102,4109
245,4040309,117,4114
246,2100203,113,4111
247,6248069,107,4124
248,7001076,109,4203
249,6228048,110,4125
250,2090205,109,4109
251,2076547,113,4111
252,1134308,102,4125
253,7023062,117,4114
254,4098072,113,4111
255,6266034,105,4110
256,2026056,104,4107
257,6265083,117,4114
258,2090224,113,4109
259,6201025,113,4111
260,2077489,109,4109
261,2020111,113,4109
262,2076352,113,4109
263,6008018,114,4110
264,7048015,117,4114
265,3004064,117,4124
266,2081610,114,4110
267,6271103,114,4110
268,6186139,102,4101
269,7037149,117,4110
270,2077083,104,4112
271,1109003,104,5216
272,2068050,113,4111
273,6265022,114,4110
274,3004454,117,4114
275,5068185,101,4110
276,3015005,106,4109
277,3088263,107,4118
278,5056133,114,4110
279,7037233,115,4110
280,2106087,113,4111
281,6269044,109,4203
282,6202293,102,4128
283,2025053,110,4109
284,1139049,108,4110
285,2091023,102,4125
286,2078362,102,4125
287,2057196,109,4109
288,2092099,104,4107
289,2090305,113,4109
290,2028073,117,4116
292,3045002,106,5222
293,6007072,101,4110
294,6203027,117,4116
295,2107051,113,4109
297,4013060,114,4110
298,2080235,113,4109
299,6106185,107,4111
300,3056008,114,4110
301,2081477,110,4109
302,2066380,113,4109
303,6204222,102,4125
304,3057089,102,4125
305,7022102,115,4110
306,2076171,109,4109
307,5060068,109,4203
308,1004010,109,4109
309,1103016,102,4107
310,2102353,117,4116
311,7072228,117,4116
312,3002094,117,4125
313,6273075,110,4125
314,7057072,116,4113
315,2033095,113,4114
316,2109015,109,4109
317,2108154,110,4109
318,2108133,113,4109
319,3002102,102,5235
320,5048119,109,4203
321,6096124,110,4125
322,7068019,113,4109
323,2059064,110,4109
324,5076058,110,4125
325,6196139,110,4125
326,2090023,104,4107
328,6233090,101,4114
329,6034052,110,4125
330,2101209,106,4109
331,7024039,115,4110
332,4092148,116,4113
333,2057447,110,4125
334,2090284,103,4110
335,2081057,113,4109
336,6223236,101,4114
337,2075007,110,4109
338,2100186,102,4107
340,2069108,115,4110
341,2087281,106,4109
342,2081368,106,5215
343,2078227,113,4109
344,3067055,102,4107
345,1177090,117,4114
346,2100163,116,4113
347,2069041,106,5506
348,6257148,106,5222
349,1143247,112,4110
350,4019053,113,4125
351,1136133,102,4128
352,6188085,101,4111
353,2081661,110,4125
354,5051140,116,4111
355,4012029,105,4111
356,3010033,106,5506
357,3009007,117,4109
358,4076241,104,4107
359,5047224,115,4110
360,6207216,107,4125
361,6224116,110,4125
362,5052217,102,5235
363,2076793,106,4109
364,7042047,102,4107
365,5052104,104,4125
366,6264030,110,4125
367,2054123,103,4110
368,6167045,110,4125
370,2101312,106,4109
371,6008008,110,4125
372,1159196,108,4188
374,5039016,106,4125
375,4089238,114,4110
376,2108009,106,4109
377,2078383,109,4125
378,1144085,117,4109
379,4012002,116,4109
380,6187006,106,4125
381,3070015,109,4125
382,2076884,104,4136
383,2087085,107,4109
384,2091019,117,4109
385,5054158,103,4110
386,1168116,113,4111
387,4075092,102,4107
388,6205052,109,4125
389,2076956,104,4117
390,2069232,106,4125
391,2086103,105,4111
392,2057197,104,4192
393,5056034,102,4107
394,2027009,116,4113
395,2105062,108,4111
396,5090048,106,4125
397,4098095,115,4124
398,2078106,113,4125
399,1139045,106,4115
400,2081085,116,4109
401,6202159,101,5216
402,3006093,117,4109
403,3088301,110,5227
404,1030082,108,4110
405,2070075,116,4109
406,5079073,102,4107
407,2118012,104,4107
408,2079176,111,4111
410,3004452,117,4125
411,2033017,106,5215
412,6190181,112,4110
413,1058243,116,4111
414,3054141,116,4113
416,6226020,109,4125
417,6271106,109,4125
418,1023327,116,4113
419,1160338,108,4110
420,2076760,117,4109
422,7041095,116,4113
424,3089073,106,4107
425,2077237,109,4125
426,6272009,113,4114
427,1047024,116,4111
428,2083058,109,4125
429,1145072,112,4110
430,4089082,110,4125
431,7043094,116,4111
432,2068005,117,4109
433,2087428,107,4109
434,3004438,113,4125
435,5070138,105,4111
436,5035506,107,4109
438,6216039,109,4125
439,7047035,115,4124
440,2077157,117,4109
441,3083033,104,5210
442,6250087,110,4107
443,6187449,113,4125
444,2060040,109,4125
445,2118005,113,4125
446,2057331,115,4109
447,6186418,106,4111
448,2069202,116,4111
450,3004129,108,4110
451,2075084,116,4109
452,6191403,105,4111
453,1061241,102,4107
454,1026061,112,4110
455,5035293,106,5506
456,2077232,105,4111
457,6196024,107,4125
458,1124036,106,5506
459,5035299,116,5254
460,2090338,113,4125
461,6269042,105,4111
462,2089036,116,4109
463,5035340,102,4128
464,2021099,116,4111
465,2081480,116,4109
466,4024056,102,4107
468,1101280,120,4110
469,2107125,113,4125
470,7005114,102,4125
471,2076882,119,4110
472,2077094,113,4125
473,2065104,108,4111
474,2077248,105,4109
475,6251074,110,4107
476,3068011,116,5254
477,5059050,102,4128
478,4015032,113,4125
479,2078712,116,4113
480,2107110,116,4109
481,2010087,102,4101
482,4087121,117,4125
483,2077166,105,4109
484,3004265,117,4124
485,5035213,116,5254
486,4026019,116,4125
487,5089154,106,4121
488,6216003,107,4118
489,2100031,106,5216
490,1037422,114,4114
491,2076096,105,4109
492,3009069,117,4125
493,5032107,110,4107
494,2076548,107,4125
495,2020094,104,4192
496,2116018,102,4128
497,6250005,114,4114
498,3084024,116,5213
499,6093056,121,4110
500,2077500,117,4125
501,2100291,106,5239
502,3003021,104,4117
503,1172021,102,5226
504,2100214,106,5239
505,4002335,108,4110
506,7078228,102,4107
507,1121179,102,4125
508,2076561,111,4109
509,5048123,106,5239
510,6196087,119,4110
511,6201067,121,4110
512,3087078,106,5506
514,2087243,106,5239
516,2081113,116,4125
517,2081202,111,4109
518,6197089,117,4125
519,7084133,113,4107
520,2066342,116,5213
521,2080202,114,4109
522,2077269,115,4111
523,1159089,119,4125
524,4124048,112,4110
525,2100244,114,4109
526,1002020,104,4136
527,6078024,116,4125
528,5035296,102,4101
529,1162147,113,5502
530,2081752,114,4111
531,6189410,110,4109
532,2103021,110,4107
533,3085015,104,5210
534,6202100,101,4110
535,6232361,121,4110
536,6186270,108,4188
537,2088008,106,4109
538,3007005,110,4107
539,2082464,109,4109
540,2076914,116,5223
541,2085114,111,4109
542,3004542,102,5226
543,6212069,106,5239
544,2057243,114,4111
545,2076377,116,4125
546,2079231,110,4101
547,2101344,104,4193
548,5098014,108,4188
549,2057120,115,4110
550,6274057,110,4107
551,2078767,116,4109
553,5005381,114,4114
554,7045051,102,4101
555,2086061,116,4125
556,5057032,102,4128
557,2078228,114,4111
558,2016029,103,4187
560,6196090,101,4111
561,6195180,116,4125
562,2009140,113,4125
563,2070061,111,4111
564,5030088,116,4125
565,1003119,110,4101
566,6069146,118,4110
567,2057487,109,4111
568,4014009,110,4107
569,4005042,104,5210
570,2106044,103,4109
571,1032062,110,4101
572,2082109,115,4109
573,2087462,116,4125
574,5055048,114,4114
575,2081073,114,4109
576,6240180,114,4114
577,5050121,118,4110
578,2081756,109,4111
579,6191187,108,4111
580,3077217,106,4107
582,7038084,114,4114
583,2080171,108,4111
584,2087377,116,4125
585,2017009,109,4111
586,2076261,114,4109
587,2076100,102,4128
588,6197120,102,4128
589,2104061,101,4114
590,2097024,104,5210
592,2088023,111,4111
593,5035186,106,4107
594,2090334,103,4109
595,6256025,110,4109
596,6187313,114,4114
597,3004513,106,4107
598,1142216,120,4110
599,1003143,105,4109
600,5069191,106,5210
601,6274123,114,4114
602,1178069,102,4206
603,3006103,102,520E
605,2081384,104,4136
606,2090357,102,4125
607,2100250,103,4109
608,2085034,108,4141
609,2077458,105,4125
610,6211043,101,4111
611,2082151,115,4111
612,2069056,114,4111
613,3004143,105,4125
614,5072032,104,4136
616,2082165,112,4109
617,5027282,102,4101
618,1127073,113,5502
619,4001626,112,4109
620,5042041,114,4111
621,2065113,108,4111
622,6217022,105,4125
623,4011128,113,4107
624,2087244,105,4125
625,2066388,110,4101
627,6204178,114,5305
628,2101436,104,4139
629,1087080,110,5201
631,2087094,101,4109
632,2090168,116,5233
633,6193064,106,4130
634,5069172,114,4111
635,5077071,106,4107
636,4008411,106,4121
637,4127088,118,4110
639,4015365,106,5225
640,4069070,113,4107
641,4096067,122,4110
642,1024091,105,4125
643,3087200,117,4116
644,2069048,113,4107
645,1037245,109,4101
646,5056091,114,4110
647,1167208,105,4125
648,5050179,116,5216
649,5030101,106,4133
650,3004348,102,4117
651,3001102,117,4109
